"filename", "language", "Markdown", "HTML", "JSON", "JavaScript", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\React\ifitfedchallenge\src\components\Menu\MenuItem\MenuItem.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\React\ifitfedchallenge\src\components\Menu\MenuItem\MenuItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 24, 0, 3, 27
"c:\React\ifitfedchallenge\src\components\Navigation\Navigation.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\React\ifitfedchallenge\src\components\Navigation\Navigation.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"c:\React\ifitfedchallenge\src\components\Navigation\NavigationButton\NavigationButton.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\React\ifitfedchallenge\src\components\Navigation\NavigationButton\NavigationButton.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\React\ifitfedchallenge\src\components\UI\OvalButton\OvalButton.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\React\ifitfedchallenge\src\components\UI\OvalButton\OvalButton.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 30, 0, 4, 34
"c:\React\ifitfedchallenge\src\containers\Home\Home.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\React\ifitfedchallenge\src\containers\Home\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\React\ifitfedchallenge\src\index.css", "CSS", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\React\ifitfedchallenge\src\index.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 3, 3, 18
"c:\React\ifitfedchallenge\src\serviceWorker.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 31, 13, 142
"c:\React\ifitfedchallenge\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 37, 21, 14690, 588, 12, 124, 580, 70, 217, 16339
